player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Temarrick Hemingway,TE,LAR,2016,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Paul Perkins,RB,NYG,2016,NA,NA,0,3,2,2,1,NA,3,3,2,2,0,1,1,2,2,24,1.7
Raheem Mostert,RB,SF,2016,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
Rob Gronkowski,TE,NE,2016,NA,NA,1,2,7,9,4,7,NA,6,NA,2,NA,NA,NA,NA,NA,38,4.8
Bennie Fowler III,WR,DEN,2016,NA,NA,1,3,2,7,1,1,1,0,NA,2,NA,4,0,2,0,24,1.8
Jonathan Williams,RB,BUF,2016,NA,NA,0,0,NA,0,NA,0,0,NA,1,1,0,NA,0,0,0,2,0.2
Le'Veon Bell,RB,PIT,2016,NA,NA,NA,6,11,7,13,NA,9,10,9,5,7,5,8,4,NA,94,7.8
MyCole Pruitt,TE,CHI,2016,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0.5
Ben Braunecker,TE,CHI,2016,NA,NA,NA,0,0,0,0,1,NA,0,0,2,0,0,0,3,0,6,0.5
Darren Waller,TE,BAL,2016,NA,NA,NA,NA,0,0,0,NA,3,2,0,2,2,3,2,2,1,17,1.4
Daniel Brown,TE,CHI,2016,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,4,2,6,2,4,2,20,2.5
Pharoh Cooper,WR,LAR,2016,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,0,4,3,3,0,6,20,2
Cody Core,WR,CIN,2016,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,2,2,3,14,5,27,3.4
Roosevelt Nix,RB,PIT,2016,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,2,2,0.2
Nick Vannett,TE,SEA,2016,NA,NA,NA,NA,NA,0,1,1,0,0,NA,0,2,0,0,NA,NA,4,0.4
Tyler Eifert,TE,CIN,2016,NA,NA,NA,NA,NA,NA,2,12,NA,5,6,11,2,6,3,NA,NA,47,5.9
Troymaine Pope,RB,SEA,2016,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,1,NA,NA,NA,2,0.5
Danny Vitale,RB,CLE,2016,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,1,1,1,1,5,0.6
Geronimo Allison,WR,GB,2016,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,0,0,0,1,7,6,22,2.2
