Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1861,Donnie Lewis Jr.,CLE,null,null,CB,null,null,null,null,null,null,null
1862,Duke Shelley,CHI,null,null,CB,null,null,null,null,null,null,null
1863,Reggie Bonnafon,CAR,null,null,RB,null,null,null,null,null,null,null
1864,Damarea Crockett,LV,null,null,RB,null,null,null,null,null,null,null
1865,Stanley Morgan,CIN,null,null,WR,null,null,null,null,null,null,null
1866,David Sills V,BUF,null,null,WR,null,null,null,null,null,null,null
1867,Jakobi Meyers,NE,null,null,WR,null,null,null,null,null,null,null
1868,Keelan Doss,LV,null,null,WR,null,null,null,null,null,null,null
1869,Reggie White Jr.,NYG,null,null,WR,null,null,null,null,null,null,null
1870,Josh Caldwell,KC,null,null,RB,null,null,null,null,null,null,null
1871,Jason Moore Jr.,LAC,null,null,WR,null,null,null,null,null,null,null
1872,Tyron Johnson,HOU,null,null,WR,null,null,null,null,null,null,null
1873,Steve Ishmael,IND,null,null,WR,null,null,null,null,null,null,null
1874,Cyril Grayson Jr.,NO,null,null,WR,null,null,null,null,null,null,null
1875,Jalen Guyton,DAL,null,null,WR,null,null,null,null,null,null,null
1876,Darrin Hall,GB,null,null,RB,null,null,null,null,null,null,null
1877,Damoun Patterson,NE,null,null,WR,null,null,null,null,null,null,null
1878,Austin Fort,DEN,null,null,TE,null,null,null,null,null,null,null
1879,Wes Hills,ARI,null,null,RB,null,null,null,null,null,null,null
1880,Jamal Custis,KC,null,null,WR,null,null,null,null,null,null,null
1881,Nick Brossette,NE,null,null,RB,null,null,null,null,null,null,null
1882,Jon'Vea Johnson,DAL,null,null,WR,null,null,null,null,null,null,null
1883,A.J. Richardson,ARI,null,null,WR,null,null,null,null,null,null,null
1884,Niles Paul,SF,null,null,TE,null,null,null,null,null,null,null
1885,Devontae Jackson,DEN,null,null,RB,null,null,null,null,null,null,null
1886,Darrius Shepherd,GB,null,null,WR,null,null,null,null,null,null,null
1887,Donald Parham Jr.,WAS,null,null,TE,null,null,null,null,null,null,null
1888,Jeff Badet,MIN,null,null,WR,null,null,null,null,null,null,null
1889,David Blough,DET,null,null,QB,null,null,null,null,null,null,null
1890,Lil'Jordan Humphrey,NO,null,null,WR,null,null,null,null,null,null,null
1891,Rob Kelley,NO,null,null,RB,null,null,null,null,null,null,null
1892,Jazz Ferguson,SEA,null,null,WR,null,null,null,null,null,null,null
1893,Trinity Benson,DEN,null,null,WR,null,null,null,null,null,null,null
1894,Reece Horn,MIA,null,null,WR,null,null,null,null,null,null,null
1895,Deontez Alexander,DET,null,null,WR,null,null,null,null,null,null,null
1896,Reggie Davis,DAL,null,null,WR,null,null,null,null,null,null,null
1897,Jaylen Smith,BAL,null,null,WR,null,null,null,null,null,null,null
1898,Jeremy Cox,LAC,null,null,RB,null,null,null,null,null,null,null
1899,Johnnie Dixon,HOU,null,null,WR,null,null,null,null,null,null,null
1900,Mark Thompson,DET,null,null,RB,null,null,null,null,null,null,null
1901,Kyle Shurmur,KC,null,null,QB,null,null,null,null,null,null,null
1902,Anthony Ratliff-Williams,TEN,null,null,WR,null,null,null,null,null,null,null
1903,Connor Cook,DET,null,null,QB,null,null,null,null,null,null,null
1904,JoJo Natson,LAR,null,null,WR,null,null,null,null,null,null,null
1905,Andre Branch,ARI,null,null,DE,null,null,null,null,null,null,null
1906,Josh Robinson,JAX,null,null,CB,null,null,null,null,null,null,null
1907,DeShawn Shead,SEA,null,null,CB,null,null,null,null,null,null,null
1908,Tre Boston,CAR,null,null,FS,null,null,null,null,null,null,null
1909,Ethan Westbrooks,LV,null,null,DE,null,null,null,null,null,null,null
1910,Will Redmond,GB,null,null,CB,null,null,null,null,null,null,null
1911,Nicholas Grigsby,BAL,null,null,OLB,null,null,null,null,null,null,null
1912,Lukas Denis,TB,null,null,FS,null,null,null,null,null,null,null
1913,Curtis Akins,CIN,null,null,OLB,null,null,null,null,null,null,null
1914,Nick Williams,CHI,null,null,DL,null,null,null,null,null,null,null
1915,Brynden Trawick,BAL,null,null,FS,null,null,null,null,null,null,null
1916,Jay Bromley,SF,null,null,DT,null,null,null,null,null,null,null
1917,Bene' Benwikere,MIN,null,null,CB,null,null,null,null,null,null,null
1918,Hayes Pullard,PHI,null,null,OLB,null,null,null,null,null,null,null
1919,Brian Price,CLE,null,null,DT,null,null,null,null,null,null,null
1920,BJ Blunt,WAS,null,null,ILB,null,null,null,null,null,null,null
1921,Josh Corcoran,LAC,null,null,OLB,null,null,null,null,null,null,null
1922,Otaro Alaka,BAL,null,null,ILB,null,null,null,null,null,null,null
1923,Freedom Akinmoladun,NYG,null,null,DT,null,null,null,null,null,null,null
1924,Olive Sagapolu,GB,null,null,DT,null,null,null,null,null,null,null
1925,Godwin Igwebuike,NYJ,null,null,RB,null,null,null,null,null,null,null
1926,Sam Eguavoen,MIA,null,null,LB,null,null,null,null,null,null,null
1927,Terrill Hanks,MIA,null,null,OLB,null,null,null,null,null,null,null
