"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Deon Jackson","RB","IND","-","0","-","-","4","10","0","0","3","-","4","-","1","bye","","","","","22","2.8"
"Denzel Mims","WR","NYJ","-","-","-","-","-","-","2","3","4","bye","6","1","1","5","","","","","22","3.1"
"Tutu Atwell","WR","LAR","1","-","1","-","2","0","bye","-","-","-","1","2","5","9","","","","","21","2.6"
"Kenyan Drake","RB","BAL","1","0","-","-","1","2","1","4","2","bye","4","1","3","2","","","","","21","1.9"
"O.J. Howard","TE","HOU","2","1","1","5","1","bye","-","3","2","1","3","2","-","-","","","","","21","2.1"
"Michael Bandy","WR","LAC","-","-","-","2","-","2","6","bye","8","1","1","0","1","-","","","","","21","2.6"
"Zach Gentry","TE","PIT","2","-","-","1","6","1","2","1","bye","1","3","1","1","1","","","","","20","1.8"
"Pharaoh Brown","TE","CLE","1","5","4","-","-","3","0","0","bye","5","1","-","1","-","","","","","20","2.2"
"Ashton Dulin","WR","IND","6","7","1","3","1","-","-","-","-","-","0","0","2","bye","","","","","20","2.5"
"Kenneth Gainwell","RB","PHI","4","2","0","2","0","0","bye","1","3","2","0","1","4","1","","","","","20","1.5"
"KhaDarel Hodge","WR","ATL","3","3","-","1","5","0","0","-","2","2","1","-","2","bye","","","","","19","1.9"
"Chase Edmonds","RB","DEN","4","3","1","3","2","2","2","0","bye","2","0","-","-","-","","","","","19","1.9"
"Ray-Ray McCloud","WR","SF","2","2","1","3","0","1","4","2","bye","1","1","1","0","1","","","","","19","1.5"
"Johnny Mundt","TE","MIN","3","3","2","1","2","2","bye","1","1","-","1","2","1","-","","","","","19","1.7"
"Colby Parkinson","TE","SEA","2","-","2","3","-","2","1","1","2","3","bye","-","1","2","","","","","19","1.9"
"Eric Saubert","TE","DEN","1","2","1","2","7","-","1","0","bye","1","2","-","0","2","","","","","19","1.7"
"Adam Trautman","TE","NO","-","-","1","3","3","1","-","-","1","3","3","1","3","bye","","","","","19","2.1"
"Jake Ferguson","TE","DAL","-","-","3","1","-","6","1","1","bye","-","2","3","2","-","","","","","19","2.4"
"Mark Ingram II","RB","NO","1","2","0","3","0","2","3","1","-","-","-","1","5","bye","","","","","18","1.8"
"Alec Ingold","RB","MIA","2","2","1","-","-","2","-","1","-","4","bye","1","4","1","","","","","18","2.0"
"Ezekiel Elliott","RB","DAL","2","2","1","2","0","1","0","-","bye","-","1","1","3","5","","","","","18","1.6"
"Josh Oliver","TE","BAL","-","-","2","-","1","3","1","1","3","bye","1","6","-","-","","","","","18","2.3"
"Zach Pascal","WR","PHI","1","2","3","1","-","0","bye","2","1","2","1","0","3","1","","","","","17","1.4"
"Breshad Perriman","WR","TB","3","5","4","-","-","1","-","1","2","-","bye","1","-","-","","","","","17","2.4"
"David Sills V","WR","NYG","-","4","4","2","2","2","1","2","bye","-","-","-","-","-","","","","","17","2.4"
"Dare Ogunbowale","RB","HOU","-","0","-","0","0","bye","7","1","0","1","1","2","3","2","","","","","17","1.5"
"Khalil Shakir","WR","BUF","-","2","-","2","5","2","bye","2","-","2","-","-","1","1","","","","","17","2.1"
"C.J. Uzomah","TE","NYJ","-","-","1","0","2","2","2","1","3","bye","0","3","1","2","","","","","17","1.5"
"Damiere Byrd","WR","ATL","-","-","-","1","1","-","1","6","1","4","2","-","1","bye","","","","","17","2.1"
"Trey McBride","TE","ARI","-","-","-","3","-","0","0","0","-","1","4","3","bye","6","","","","","17","2.1"
"Cordarrelle Patterson","RB","ATL","5","1","1","0","-","-","-","-","1","1","2","5","0","bye","","","","","16","1.8"
"Cedrick Wilson Jr.","WR","MIA","2","1","-","-","4","-","0","1","2","1","bye","3","0","2","","","","","16","1.6"
