"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Demetrius Harris","TE","KC","3","1","3","1","bye","2","3","4","1","1","0","1","1","0","0","9","1","31","1.9"
"Luke Willson","TE","SEA","4","1","3","3","bye","1","-","-","-","-","1","1","-","1","3","0","3","21","1.9"
"Tyler Higbee","TE","LAR","4","0","0","1","1","0","1","bye","7","0","3","1","4","4","1","2","0","29","1.8"
"Bennie Fowler III","WR","DEN","-","-","1","3","2","7","1","1","1","0","bye","2","-","4","0","2","0","24","1.8"
"Paul Perkins","RB","NYG","-","-","0","3","2","2","1","bye","3","3","2","2","0","1","1","2","2","24","1.7"
"DeAndre Washington","RB","OAK","1","1","1","3","6","1","2","0","1","-","1","-","-","0","3","1","2","23","1.6"
"Josh Ferguson","RB","IND","2","5","4","10","3","0","0","0","1","bye","0","0","0","0","0","0","0","25","1.6"
"Andre Roberts","WR","DET","1","0","1","1","1","2","2","0","1","bye","1","4","7","2","0","1","1","25","1.6"
"Jerell Adams","TE","NYG","-","0","-","0","2","0","1","bye","4","3","1","0","3","2","4","1","-","21","1.6"
"Lee Smith","TE","OAK","0","4","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","6","1.5"
"Darren Waller","TE","BAL","-","-","-","-","0","0","0","bye","3","2","0","2","2","3","2","2","1","17","1.4"
"Rex Burkhead","RB","CIN","0","0","0","0","0","0","1","0","bye","0","1","2","5","2","3","4","2","20","1.3"
"Dwayne Washington","RB","DET","0","0","1","1","-","-","-","-","1","bye","2","0","2","2","4","2","0","15","1.3"
"Darren Fells","TE","ARI","0","5","2","2","-","1","0","-","bye","0","1","0","1","3","1","0","2","18","1.3"
"Levine Toilolo","TE","ATL","0","2","0","1","1","4","1","1","1","0","bye","1","1","1","1","1","3","19","1.2"
"Stephen Anderson","TE","HOU","3","3","1","-","-","-","0","2","bye","1","1","1","0","0","3","0","1","16","1.2"
"Ryan Grant","WR","WAS","1","1","1","0","0","1","2","2","bye","3","1","1","2","0","0","4","0","19","1.2"
"Chris Moore","WR","BAL","2","2","1","4","-","0","4","bye","0","0","0","0","2","1","0","0","0","16","1.1"
"Wendell Smallwood","RB","PHI","0","1","0","bye","0","2","0","0","0","1","5","1","3","0","-","-","-","13","1.0"
"Malcolm Johnson","RB","CLE","2","0","1","1","1","0","2","-","-","-","-","-","bye","-","-","-","-","7","1.0"
"Seth DeValve","TE","CLE","0","0","0","-","-","-","-","1","0","1","1","4","bye","2","1","1","1","12","1.0"
"Ross Travis","TE","KC","1","0","2","1","bye","-","-","-","-","2","0","-","-","-","-","-","-","6","1.0"
"Derrick Henry","RB","TEN","2","1","0","0","0","2","1","5","-","0","0","0","bye","1","0","2","1","15","1.0"
"Alex Collins","RB","SEA","-","0","2","0","bye","1","0","-","0","0","-","0","-","3","-","4","1","11","1.0"
"Nick Boyle","TE","BAL","-","-","-","-","-","-","-","bye","-","-","-","0","2","3","0","1","0","6","1.0"
"Damiere Byrd","WR","CAR","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","1","1","1.0"
"Nick O'Leary","TE","BUF","1","0","1","2","0","2","1","1","0","bye","0","1","3","1","1","0","0","14","0.9"
"Tyler Kroft","TE","CIN","0","4","0","0","3","2","1","1","bye","1","0","0","0","0","0","-","-","12","0.9"
"Geoff Swaim","TE","DAL","1","2","1","0","1","0","bye","1","2","0","-","-","-","-","-","-","-","8","0.9"
"Tommylee Lewis","WR","NO","-","1","4","1","bye","3","0","0","-","-","-","2","0","0","0","0","0","11","0.9"
"Kenjon Barner","RB","PHI","0","0","0","bye","0","0","0","1","0","0","1","1","3","-","5","-","-","11","0.8"
"Rashard Higgins","WR","CLE","0","1","1","0","1","1","2","1","0","0","1","2","bye","0","0","1","1","12","0.8"
"Devin Smith","WR","NYJ","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","0","3","0","3","0.8"
"Luke Stocker","TE","TB","0","0","-","-","-","bye","0","2","0","2","0","1","0","-","1","1","1","8","0.7"
"Blake Bell","TE","SF","0","2","1","0","2","-","0","bye","0","0","0","1","0","2","1","-","-","9","0.7"
"D.J. Foster","RB","NE","-","2","-","-","0","0","-","-","bye","-","-","-","-","-","-","-","-","2","0.7"
"Alex Ellis","TE","JAC","-","-","-","-","bye","-","-","-","-","-","-","0","0","1","1","2","0","4","0.7"
"Andy Janovich","RB","DEN","0","1","1","0","1","0","2","0","0","1","bye","1","-","-","-","-","-","7","0.6"
"Patrick DiMarco","RB","ATL","1","0","0","2","1","1","1","0","1","0","bye","1","0","1","0","1","0","10","0.6"
"Logan Paulsen","TE","CHI","1","0","0","3","1","0","0","2","bye","1","1","1","0","0","0","0","0","10","0.6"
"Kenyan Drake","RB","MIA","0","2","2","0","3","0","0","bye","1","0","0","0","1","1","0","0","0","10","0.6"
"Mike Davis","RB","SF","0","1","0","0","0","3","0","bye","1","-","-","-","-","-","-","-","-","5","0.6"
"Mike Thomas","WR","LAR","0","0","1","0","0","0","1","bye","0","0","0","0","1","1","4","-","1","9","0.6"
