"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"306","Makai Polk (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Josh Gordon (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"309","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","T.Y. Hilton (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"312","Eron Riley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","John Brown (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"314","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Albert Wilson (LV)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"316","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"320","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Andre Roberts (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"324","Taj Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","Marken Michel (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"331","Jaydon Mickens (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"332","Alex Erickson (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"333","Jakeem Grant Sr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Greg Ward (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","Victor Bolden Jr. (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Brandon Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"337","Antonio Callaway (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","Calvin Ridley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"339","Anthony Miller (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"340","James Washington (DAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"341","Tim Patrick (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"342","Tanner Gentry (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"343","Marcus Kemp (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"344","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"345","Rashard Higgins (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"346","Diontae Spencer (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Willie Snead IV (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Pharoh Cooper (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"349","Ty Montgomery (NE)","3","4","15","5.0","7","0","1","2","-2","0","0","1","0.0","0.0","0.6%"
"350","Chester Rogers (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
""
""
