"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Demarcus Robinson","WR","KC","2","6","4","9","6","4","5","2","2","5","1","bye","0","2","3","2","2","55","3.4"
"Devin Singletary","RB","BUF","6","0","-","-","-","bye","0","6","4","6","1","2","4","8","3","1","-","41","3.4"
"Parris Campbell","WR","IND","1","1","3","8","-","bye","-","1","5","-","-","-","-","5","-","-","-","24","3.4"
"Cameron Brate","TE","TB","2","2","2","3","1","4","bye","6","0","0","14","1","1","4","7","5","3","55","3.4"
"Jordan Akins","TE","HOU","2","3","5","4","1","3","2","5","3","bye","2","4","1","9","2","2","7","55","3.4"
"Geronimo Allison","WR","GB","0","4","3","4","6","7","5","3","2","3","bye","4","3","1","4","2","4","55","3.4"
"N'Keal Harry","WR","NE","-","-","-","-","-","-","-","-","-","bye","4","4","1","1","4","3","7","24","3.4"
"DeSean Jackson","WR","PHI","9","0","-","-","-","-","-","-","1","bye","-","-","-","-","-","-","-","10","3.3"
"Jakeem Grant Sr.","WR","MIA","4","7","7","1","bye","-","0","3","5","2","3","1","-","-","-","-","-","33","3.3"
"Todd Gurley II","RB","LAR","1","4","1","11","5","-","1","1","bye","4","3","3","1","4","6","2","2","49","3.3"
"Dawson Knox","TE","BUF","2","4","4","3","5","bye","5","1","2","6","3","2","4","4","1","4","-","50","3.3"
"DaeSean Hamilton","WR","DEN","4","6","0","5","0","2","5","1","0","bye","0","1","3","4","9","6","6","52","3.3"
"Allen Lazard","WR","GB","0","0","0","0","0","5","4","5","4","6","bye","2","3","3","3","9","8","52","3.3"
"Jamaal Williams","RB","GB","2","4","2","1","-","5","5","3","6","1","bye","8","4","1","1","2","-","45","3.2"
"Ryan Griffin","TE","NYJ","4","1","1","bye","1","3","2","4","8","1","5","3","7","1","-","-","-","41","3.2"
"Travis Benjamin","WR","LAC","3","2","5","-","2","4","-","-","-","-","-","bye","-","-","-","-","-","16","3.2"
"Nick Chubb","RB","CLE","4","4","7","4","1","6","bye","1","5","4","1","3","2","1","3","1","2","49","3.1"
"Chris Carson","RB","SEA","7","3","1","4","2","4","5","1","3","4","bye","4","2","4","2","1","-","47","3.1"
"Royce Freeman","RB","DEN","1","7","5","6","2","5","5","2","1","bye","1","2","4","2","4","2","1","50","3.1"
"Kyle Rudolph","TE","MIN","1","4","1","1","1","3","6","3","5","5","5","bye","6","2","3","2","0","48","3.0"
"Zay Jones","WR","OAK","4","3","3","8","0","-","-","2","4","3","3","2","3","3","2","3","2","45","3.0"
"Dontrelle Inman","WR","IND","1","2","3","7","-","bye","-","-","-","-","-","-","-","-","3","2","3","21","3.0"
"Antonio Callaway","WR","CLE","0","-","-","-","3","4","bye","3","5","-","-","-","-","-","-","-","-","15","3.0"
"Phillip Lindsay","RB","DEN","6","7","5","1","4","3","1","5","0","bye","2","3","3","2","2","3","1","48","3.0"
"Darren Fells","TE","HOU","1","3","6","1","2","7","2","6","3","bye","3","2","3","4","2","3","0","48","3.0"
"Willie Snead IV","WR","BAL","3","1","5","2","5","5","1","bye","2","3","3","3","2","4","1","1","5","46","2.9"
"Dare Ogunbowale","RB","TB","5","1","3","4","3","5","bye","3","1","3","4","1","2","5","1","5","0","46","2.9"
"Rex Burkhead","RB","NE","8","2","7","1","-","-","-","1","2","bye","3","5","1","1","2","4","1","38","2.9"
"Irv Smith Jr.","TE","MIN","0","2","3","1","0","2","6","3","6","6","3","bye","3","4","3","3","2","47","2.9"
"Kelvin Harmon","WR","WAS","2","0","0","2","1","1","0","1","2","bye","6","6","5","4","3","6","5","44","2.8"
"Geoff Swaim","TE","JAC","4","4","2","4","1","2","-","-","-","bye","-","-","-","-","-","-","-","17","2.8"
"Jonnu Smith","TE","TEN","1","0","3","1","2","1","3","7","5","6","bye","0","2","4","5","4","0","44","2.8"
"Joe Mixon","RB","CIN","3","5","2","5","1","3","2","4","bye","3","3","0","4","4","3","2","1","45","2.8"
"Kendrick Bourne","WR","SF","3","2","2","bye","2","1","4","1","1","8","6","2","3","4","2","3","0","44","2.8"
"Bisi Johnson","WR","MIN","0","0","0","4","4","1","8","2","2","4","9","bye","3","1","1","2","4","45","2.8"
"Nick Boyle","TE","BAL","3","3","5","1","2","4","1","bye","5","4","3","1","2","3","0","4","2","43","2.7"
"Josh Reynolds","WR","LAR","2","1","2","2","1","1","1","8","bye","5","6","2","4","0","4","3","1","43","2.7"
"Giovani Bernard","RB","CIN","3","3","2","6","3","3","3","2","bye","1","3","3","2","3","2","3","1","43","2.7"
"Jakobi Meyers","WR","NE","1","-","3","0","2","4","5","2","0","bye","2","9","7","3","0","3","0","41","2.7"
"Trey Burton","TE","CHI","0","3","4","4","3","bye","4","4","1","1","-","-","-","-","-","-","-","24","2.7"
"Jalen Richard","RB","OAK","0","3","3","1","2","-","1","3","4","4","1","7","2","3","3","4","2","43","2.7"
