"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"96","Alex Armah Jr.","RB","WAS","2018",6,6,"ppr","96","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","David Fluellen","RB","FA","2018",6,6,"ppr","97","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Keith Smith","RB","ATL","2018",6,6,"ppr","98","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Ryan Hewitt","RB","FA","2018",6,6,"ppr","99","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Patrick DiMarco","RB","FA","2018",6,6,"ppr","100","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"101","C.J. Anderson","RB","FA","2018",6,6,"ppr","101","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"102","Senorise Perry","RB","FA","2018",6,6,"ppr","102","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","Roosevelt Nix","RB","FA","2018",6,6,"ppr","103","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"104","Mark Walton","RB","FA","2018",6,6,"ppr","104","2","-2","-1.0","0","0","0","0","0","0","0","0","0","1","-0.2","-0.2","2.0%"
"105","Roc Thomas","RB","FA","2018",6,6,"ppr","105","1","-4","-4.0","0","0","0","0","0","0","0","0","0","1","-0.4","-0.4","0.0%"
